Rank,City,Region,# of STEM jobs (2019),% STEM jobs (2019),# of STEM jobs change (2015-2019),% STEM jobs change (2015-2019),# Women in STEM (2019),% Women in STEM (2019),# Women in STEM change (2015-2019),% Women in STEM change (2015-2019),"Median STEM income (all, 2019)","Median STEM income change (all, 2015-2019)","Median STEM income (women, 2019)","Median STEM income change (women, 2015-2019)"
38,"Salt Lake City, UT",West,"12,870",10.90%,"4,729",3.20%,"4,612",35.80%,"2,446",9.20%,"$60,765 ",17.40%,"$49,140 ",-2.80%
39,"Aurora, CO",West,"12,618",6.20%,"4,621",1.90%,"3,881",30.80%,"1,289",-1.70%,"$71,152 ",17.00%,"$74,046 ",22.60%
40,"St. Louis, MO",Midwest,"12,654",8.10%,"3,136",1.90%,"4,735",37.40%,"1,533",3.80%,"$65,432 ",24.80%,"$51,778 ",24.30%
41,"Santa Ana, CA",West,"7,309",4.50%,"3,644",2.10%,"1,261",17.30%,217,-11.20%,"$79,430 ",52.40%,"$81,103 ",33.60%
42,"Columbus, OH",Midwest,"37,419",7.50%,"9,332",1.20%,"10,357",27.70%,"2,785",0.70%,"$66,132 ",10.00%,"$55,280 ",7.30%
43,"Urban Honolulu CDP, HI",West,"10,567",5.90%,"2,818",1.70%,"3,490",33.00%,"1,106",2.30%,"$72,479 ",16.70%,"$70,395 ",15.90%
44,"Colorado Springs, CO",West,"23,167",9.70%,"7,054",2.20%,"4,229",18.30%,327,-6.00%,"$81,737 ",6.60%,"$72,288 ",28.50%
45,"Long Beach, CA",West,"14,291",6.00%,"2,894",0.90%,"4,271",29.90%,548,-2.80%,"$80,645 ",20.50%,"$76,120 ",7.70%
46,"Huntsville, AL",South,"14,190",14.20%,"3,342",1.80%,"2,164",15.30%,-706,-11.20%,"$92,206 ",14.50%,"$84,206 ",12.10%
47,"Des Moines, IA",Midwest,"8,041",7.30%,"3,699",3.40%,"2,274",28.30%,652,-9.10%,"$67,116 ",21.90%,"$66,410 ",27.70%
48,"Raleigh, NC",South,"25,688",10.10%,"3,375",0.70%,"7,159",27.90%,"1,741",3.60%,"$73,742 ",2.80%,"$61,193 ",9.90%
49,"Oklahoma City, OK",South,"21,248",6.70%,"6,924",1.90%,"5,417",25.50%,"2,545",5.40%,"$62,940 ",1.00%,"$56,359 ",13.50%
50,"Anchorage, AK",West,"9,569",6.70%,"-1,193",-0.50%,"3,040",31.80%,-48,3.10%,"$81,674 ",15.70%,"$72,368 ",29.50%
51,"Omaha, NE",Midwest,"17,375",7.00%,"4,864",1.50%,"5,721",32.90%,"2,138",4.30%,"$71,000 ",14.10%,"$51,960 ",-16.60%
